id;start_date;end_date;language
1;2021-01-21T02:25:47;2021-01-21T00:16:02;SPANISH
2;2021-01-20T07:15:58;2021-01-21T02:20:23;SPANISH
3;2021-01-20T22:11:17;2021-01-20T08:45:26;FRENCH
4;2021-01-20T13:28:48;2021-01-21T01:00:14;FRENCH
5;2021-01-20T22:59:06;2021-01-21T03:46:05;FRENCH
6;2021-01-20T16:51:27;2021-01-21T04:59:41;FRENCH
7;2021-01-20T18:36:47;2021-01-20T12:27:38;FRENCH
8;2021-01-20T17:33:00;2021-01-21T03:49:08;SPANISH
9;2021-01-20T16:14:09;2021-01-20T12:55:32;SPANISH
10;2021-01-21T00:26:13;2021-01-20T11:00:43;SPANISH
